# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    67    42    41    25    21     0     0  1215  1410
    1    66    41    41     4     0     0     0  1215  1410
    1    66    41    41     0     0     0     0  1215  1410
    1    66    41    41    12     0     0     0  1215  1410
    1    67    42    41    14     0     0     0  1215  1410
    1    67    41    41     0     0     0     0  1215  1410
    1    72    42    41     9     0     0     0  1215  1410
    1    67    41    41     0     0     0     0  1215  1410
    1    67    42    41    15     8     0     0  1215  1410
    1    67    42    44     8     6     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    69    43    43    33    20     0     0  1215  1410
    1    68    42    41     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    69    42    42     5     4     0     0  1215  1410
    1    67    42    41     2     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    41     9     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    43    44     0     0     0     0  1215  1410
    1    67    42    42     5     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    68    43    42     4     3     0     0  1215  1410
    1    67    42    42     8     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    68    42    42    14     8     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    70    42    42     6     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    68    42    42    11     8     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    66    43    42    29    24     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     9     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
